Source,Target,Type,Id,Label,timeset,Weight
2080,2070,Directed,20453,,,1
1649,1101,Directed,20454,,,1
1711,1416,Directed,20455,,,1
1246,893,Directed,20456,,,1
887,2113,Directed,20457,,,1
840,945,Directed,20458,,,1
1317,1353,Directed,20459,,,1
2046,835,Directed,20460,,,1
1776,1292,Directed,20461,,,1
1048,2487,Directed,20462,,,1
1045,1752,Directed,20463,,,1
1990,1623,Directed,20464,,,1
1209,2543,Directed,20465,,,1
850,1863,Directed,20466,,,1
2014,1078,Directed,20467,,,1
717,1475,Directed,20468,,,1
2449,2213,Directed,20469,,,1
1594,701,Directed,20470,,,1
1238,1209,Directed,20471,,,1
2235,2142,Directed,20472,,,1
1026,2289,Directed,20473,,,1
820,1677,Directed,20474,,,1
1482,1248,Directed,20475,,,1
1464,1434,Directed,20476,,,1
2266,2240,Directed,20477,,,1
1183,1759,Directed,20478,,,1
1580,1458,Directed,20479,,,1
1225,749,Directed,20480,,,1
1711,2455,Directed,20481,,,1
705,2426,Directed,20482,,,1
1127,1308,Directed,20483,,,1
2111,2425,Directed,20484,,,1
1167,2175,Directed,20485,,,1
1587,2160,Directed,20486,,,1
2535,1644,Directed,20487,,,1
1218,690,Directed,20488,,,1
802,1216,Directed,20489,,,1
1407,2459,Directed,20490,,,1
2424,1883,Directed,20491,,,1
698,1675,Directed,20492,,,1
2197,1394,Directed,20493,,,1
1766,2012,Directed,20494,,,1
816,678,Directed,20495,,,1
1226,930,Directed,20496,,,1
1391,840,Directed,20497,,,1
1246,1918,Directed,20498,,,1
2210,1619,Directed,20499,,,1
1523,2143,Directed,20500,,,1
2118,1858,Directed,20501,,,1
1154,1099,Directed,20502,,,1
2322,2365,Directed,20503,,,1
1357,877,Directed,20504,,,1
2262,1942,Directed,20505,,,1
991,861,Directed,20506,,,1
2052,1813,Directed,20507,,,1
810,1164,Directed,20508,,,1
1983,2116,Directed,20509,,,1
1171,1058,Directed,20510,,,1
1573,2134,Directed,20511,,,1
1263,1659,Directed,20512,,,1
1955,1154,Directed,20513,,,1
1467,1457,Directed,20514,,,1
1179,1043,Directed,20515,,,1
1157,1397,Directed,20516,,,1
1242,2516,Directed,20517,,,1
1385,1642,Directed,20518,,,1
2095,1723,Directed,20519,,,1
796,1138,Directed,20520,,,1
2375,2260,Directed,20521,,,1
1560,1679,Directed,20522,,,1
1556,1050,Directed,20523,,,1
1046,2183,Directed,20524,,,1
2424,1737,Directed,20525,,,1
1557,958,Directed,20526,,,1
1806,1419,Directed,20527,,,1
1011,1621,Directed,20528,,,1
1716,2491,Directed,20529,,,1
1233,820,Directed,20530,,,1
1163,1731,Directed,20531,,,1
2391,2177,Directed,20532,,,1
1143,1993,Directed,20533,,,1
645,1455,Directed,20534,,,1
2416,2082,Directed,20535,,,1
1607,2257,Directed,20536,,,1
1282,1463,Directed,20537,,,1
1188,1451,Directed,20538,,,1
2453,2144,Directed,20539,,,1
1012,1763,Directed,20540,,,1
1168,709,Directed,20541,,,1
1021,1604,Directed,20542,,,1
2433,641,Directed,20543,,,1
1291,1190,Directed,20544,,,1
2287,2531,Directed,20545,,,1
1794,2527,Directed,20546,,,1
1646,2444,Directed,20547,,,1
2337,2218,Directed,20548,,,1
998,1753,Directed,20549,,,1
1338,1485,Directed,20550,,,1
1452,1500,Directed,20551,,,1
779,2411,Directed,20552,,,1
2245,1429,Directed,20553,,,1
1732,1869,Directed,20554,,,1
1658,1923,Directed,20555,,,1
2493,2045,Directed,20556,,,1
2135,2129,Directed,20557,,,1
2381,2429,Directed,20558,,,1
1389,689,Directed,20559,,,1
