Source,Target,Type,Id,Label,timeset,Weight
1148,1862,Directed,207,,,1
803,1230,Directed,208,,,1
167,325,Directed,209,,,1
9,24,Directed,210,,,1
1989,2032,Directed,211,,,1
1843,1784,Directed,212,,,1
1060,1696,Directed,213,,,1
677,2039,Directed,214,,,1
1155,143,Directed,215,,,1
2386,2253,Directed,216,,,1
44,817,Directed,217,,,1
533,2301,Directed,218,,,1
2312,1101,Directed,219,,,1
1043,348,Directed,220,,,1
1852,848,Directed,221,,,1
1890,1707,Directed,222,,,1
2535,2057,Directed,223,,,1
555,877,Directed,224,,,1
1597,1767,Directed,225,,,1
1387,754,Directed,226,,,1
2130,414,Directed,227,,,1
1812,200,Directed,228,,,1
2323,2365,Directed,229,,,1
2198,834,Directed,230,,,1
2205,2441,Directed,231,,,1
782,1935,Directed,232,,,1
424,1501,Directed,233,,,1
485,47,Directed,234,,,1
1593,1581,Directed,235,,,1
2452,971,Directed,236,,,1
2155,544,Directed,237,,,1
1099,123,Directed,238,,,1
807,1334,Directed,239,,,1
14,349,Directed,240,,,1
1132,305,Directed,241,,,1
1589,64,Directed,242,,,1
135,888,Directed,243,,,1
2445,823,Directed,244,,,1
689,560,Directed,245,,,1
1117,131,Directed,246,,,1
875,627,Directed,247,,,1
2120,1101,Directed,248,,,1
2204,1373,Directed,249,,,1
2171,1775,Directed,250,,,1
1031,560,Directed,251,,,1
2219,889,Directed,252,,,1
263,2127,Directed,253,,,1
1811,1104,Directed,254,,,1
663,837,Directed,255,,,1
661,39,Directed,256,,,1
203,24,Directed,257,,,1
1308,966,Directed,258,,,1
1487,212,Directed,259,,,1
1692,1545,Directed,260,,,1
2255,2094,Directed,261,,,1
356,2016,Directed,262,,,1
2353,1874,Directed,263,,,1
2231,1751,Directed,264,,,1
1306,1045,Directed,265,,,1
1426,1794,Directed,266,,,1
1796,636,Directed,267,,,1
1844,851,Directed,268,,,1
1372,442,Directed,269,,,1
1820,1038,Directed,270,,,1
1689,2471,Directed,271,,,1
863,763,Directed,272,,,1
317,300,Directed,273,,,1
865,1916,Directed,274,,,1
525,1196,Directed,275,,,1
22,4,Directed,276,,,1
1462,1965,Directed,277,,,1
973,2291,Directed,278,,,1
231,846,Directed,279,,,1
2237,69,Directed,280,,,1
418,1345,Directed,281,,,1
2509,2448,Directed,282,,,1
1383,1733,Directed,283,,,1
786,1774,Directed,284,,,1
2291,1956,Directed,285,,,1
1113,1369,Directed,286,,,1
2078,1577,Directed,287,,,1
1419,1560,Directed,288,,,1
195,662,Directed,289,,,1
2182,1475,Directed,290,,,1
2419,1988,Directed,291,,,1
658,1891,Directed,292,,,1
1045,2198,Directed,293,,,1
1287,388,Directed,294,,,1
1873,479,Directed,295,,,1
2541,817,Directed,296,,,1
2132,724,Directed,297,,,1
1180,2169,Directed,298,,,1
613,747,Directed,299,,,1
1894,693,Directed,300,,,1
1685,1115,Directed,301,,,1
822,1899,Directed,302,,,1
986,885,Directed,303,,,1
958,890,Directed,304,,,1
213,2177,Directed,305,,,1
1207,1336,Directed,306,,,1
2209,2239,Directed,307,,,1
644,1468,Directed,308,,,1
89,2513,Directed,309,,,1
847,2221,Directed,310,,,1
1443,1224,Directed,311,,,1
168,1648,Directed,312,,,1
207,653,Directed,313,,,1
332,2204,Directed,314,,,1
739,1313,Directed,315,,,1
728,1577,Directed,316,,,1
843,1489,Directed,317,,,1
201,483,Directed,318,,,1
2180,1223,Directed,319,,,1
1672,2282,Directed,320,,,1
1225,2245,Directed,321,,,1
2468,2086,Directed,322,,,1
132,1749,Directed,323,,,1
2009,2284,Directed,324,,,1
473,1245,Directed,325,,,1
1834,2134,Directed,326,,,1
2137,1102,Directed,327,,,1
360,419,Directed,328,,,1
1978,2193,Directed,329,,,1
809,786,Directed,330,,,1
1211,133,Directed,331,,,1
238,819,Directed,332,,,1
745,627,Directed,333,,,1
2107,577,Directed,334,,,1
110,1537,Directed,335,,,1
1136,53,Directed,336,,,1
138,2319,Directed,337,,,1
1403,1230,Directed,338,,,1
2178,486,Directed,339,,,1
1189,1134,Directed,340,,,1
2428,1149,Directed,341,,,1
1785,1465,Directed,342,,,1
