Talk1,Talk2
2113,1179
1447,2027
1998,1494
1810,603
877,1025
2310,2443
1113,1249
1744,649
2517,1116
1115,1936
687,171
2255,1948
1477,2443
241,1338
1026,922
1829,2039
675,2010
2038,208
143,2076
201,602
995,1311
1716,1368
1453,138
2419,504
416,2371
220,358
1992,888
542,2043
760,1131
1937,195
678,1342
1723,50
2153,642
326,2441
878,2356
220,291
1072,493
1488,1774
711,395
1820,2356
316,1412
550,1288
644,2538
1290,1321
1443,1575
1135,1784
1805,2140
915,812
2418,1761
2213,1456
421,1304
788,802
2204,176
2319,1275
814,860
881,698
1168,2196
1305,474
1815,708
863,535
235,2231
752,731
972,1967
201,1890
906,1483
626,23
2159,23
2078,1310
2254,775
830,1814
2100,1235
1739,185
2060,2251
2043,1666
735,439
2261,1736
2195,2039
393,1375
2448,764
1788,795
2278,716
1064,1375
323,2352
651,1505
1810,646
120,383
2115,132
63,1522
1974,194
2356,1390
1326,1077
1394,2126
2430,796
2445,1620
999,2227
2490,1972
2205,325
1785,372
1813,699
1967,2427
2058,624
1327,1357
1874,2496
948,1243
1614,2264
1888,1265
2489,634
1898,2101
1752,1535
261,2254
1161,1153
2250,842
1783,1839
1935,894
2016,652
1440,1139
872,1883
1216,1212
390,415
955,408
725,756
2005,1202
2262,2223
436,1837
2265,105
1222,2212
302,1567
902,513
2458,1472
2078,1669
2540,1251
181,1474
461,1901
451,2416
2014,979
2403,2003
952,724
166,1229
1065,1029
1387,1364
1270,2527
1328,3
1078,1056
488,227
1180,1467
718,2014
1905,199
557,1763
2008,1383
1198,206
1473,917
56,946
2340,227
185,1345
1705,1373
1823,1133
1234,101
2159,666
715,1291
1526,545
406,1212
758,1441
1507,1906
785,1279
867,2264
2019,542
380,469
479,472
1146,500
1400,1216
1277,342
1305,402
1636,1126
280,2451
1090,981
654,2539
1893,200
2465,969
2178,206
2282,1275
1594,1707
1071,1940
105,1418
1821,1394
599,1179
1055,705
105,2488
1067,326
1847,2419
1012,1165
17,766
882,1342
2316,614
505,2195
702,2239
1663,2353
816,1157
1380,1187
586,1243
214,2005
856,1233
1809,944
915,2245
1430,2427
1199,1733
1192,1031
580,422
458,2025
1058,1661
1493,1620
483,1535
1620,416
2162,2265
1441,1029
1464,1577
1523,2025
1063,2084
1626,1351
2415,657
829,1113
934,1670
988,1193
2367,1782
1447,913
2142,1111
818,707
2233,1477
1721,2526
504,2056
2247,2180
375,1219
398,402
1744,809
674,929
1272,1983
561,1859
233,1622
2380,773
1252,1989
1667,1917
2364,1592
888,1605
2275,1228
2124,568
1390,1820
968,17
1997,474
2267,111
854,731
2202,286
508,1512
1001,2459
2270,1750
1594,919
885,1020
1134,224
2382,1108
2320,2549
1412,84
1203,2216
1686,729
1029,1065
212,733
2371,419
75,2287
1788,1376
1157,1361
1974,732
1434,2389
945,1727
2139,837
1334,2259
680,1141
972,334
1593,240
1668,2036
882,2055
1967,2082
592,2179
27,1914
2515,1135
144,898
1755,477
2019,2530
754,366
228,252
722,926
67,604
101,994
1059,1300
1718,490
2123,2399
898,1832
1470,1955
1003,999
376,2434
912,2531
1804,1916
973,969
548,1523
2271,1050
930,958
2419,2257
1516,376
1102,1471
1832,1953
890,709
1871,208
1173,1766
2288,238
1293,2477
1626,970
2067,509
1377,778
1258,1609
403,2152
85,698
1880,2316
727,2107
723,2496
2001,1065
970,1120
930,1773
2538,2371
1156,193
859,2329
927,305
424,1695
538,2527
147,1117
2331,1905
248,2046
528,1578
1518,1377
254,470
2471,1817
1487,2158
182,505
1161,147
1714,1278
2527,1354
423,341
2147,1560
1852,2076
2168,946
2378,420
1768,1766
550,1478
1568,442
1883,1187
785,51
1218,31
314,251
308,570
2116,2054
1955,700
2099,837
275,324
2461,2141
831,954
1045,423
1591,1750
1955,1429
1873,1535
11,277
788,1006
1666,262
483,601
929,674
686,568
2440,199
1034,1680
513,1783
1886,841
498,2199
174,2270
1295,961
2233,1630
251,1807
1010,729
1450,2389
1424,1443
810,1038
75,2437
710,828
705,1055
324,1358
956,1122
1269,1947
1590,1485
471,1468
1750,2205
904,973
2008,1987
354,744
715,422
141,1365
598,1944
426,1647
219,344
1704,1551
1411,2226
1910,2478
1953,2260
1870,312
12,15
2002,2291
319,1424
2015,804
228,694
274,1383
801,1327
1205,1011
2230,1027
935,1260
1695,1801
640,1361
99,1945
2010,1358
904,1532
1154,34
2273,199
2544,941
1884,843
235,2485
846,89
1124,1338
920,269
1314,1195
1679,1246
1251,2098
191,235
1086,826
2106,739
980,1987
2289,2365
2334,1256
1496,87
562,1513
825,155
353,1639
953,2173
1844,2533
1421,2470
2539,1947
741,337
1404,549
694,1279
1977,1096
1290,951
1337,2182
949,2018
2443,741
326,1114
294,167
1388,1285
358,291
2017,1364
1717,1137
684,177
1617,578
2497,1983
2011,1636
124,164
674,1047
2509,1959
68,1071
470,1552
824,255
1723,536
800,2236
865,1731
1779,476
1737,1428
