Talk1,Talk2
1794,1566
2048,1670
1691,1657
2042,2452
1656,1224
1484,1338
2275,2438
1867,2439
1404,1409
1645,1522
1142,1075
2028,749
845,1613
1411,1804
2435,2385
2074,2067
2207,2494
2390,2168
1862,1930
2296,2141
1248,1248
1471,2060
1852,2071
1504,1769
2115,916
648,1347
2462,2451
2523,1958
2446,1022
2032,1609
1208,2505
990,1333
820,1859
914,1328
1469,2441
1857,2336
1599,2171
2115,1727
1740,2083
2355,2328
1580,1012
1317,1275
863,2303
1725,1000
2112,2098
2130,1238
2459,1908
968,1275
1127,2171
1155,1115
2056,912
2537,2109
2150,1874
981,879
2127,2064
2199,2093
2079,1627
1734,1096
2215,2460
1185,971
1287,942
987,719
1927,2247
1956,1706
1189,1542
2392,2268
2005,676
961,931
1494,692
2186,2158
1636,822
698,1730
1756,1731
1527,740
1901,2256
747,732
778,1632
1560,1447
1234,778
1278,1297
2038,2278
1247,988
2437,2427
1617,1478
758,1951
2176,2063
1220,1115
2251,1701
1136,917
2493,2367
2273,2224
710,1520
682,1230
1293,2462
2541,2142
1870,1491
1632,1438
675,1103
1601,2379
1339,1058
2470,2440
1479,2440
1270,1270
1779,755
1236,788
1561,1588
1955,2078
2273,1487
882,1496
911,2283
1054,2251
1169,860
2156,2125
1000,1985
1362,2421
853,2498
1657,851
1960,1671
2333,2280
2507,2289
1776,2074
635,2102
2187,766
1221,861
1225,1093
1773,1580
2151,2059
1492,1078
1701,2527
1875,2348
2504,2515
2200,1791
2390,2427
2385,2239
1995,2148
1525,1626
2058,1090
1120,2467
1105,1061
1701,1839
1496,2232
1023,1502
2107,1704
2360,1158
1877,2000
2142,1961
2173,1935
1311,2539
1742,2435
1345,1166
2549,1213
1631,1101
1897,1650
2435,1968
1297,1574
1776,990
2007,1863
2134,2124
1250,921
1430,1287
991,681
816,2108
1336,1271
1940,2548
1490,2280
836,2535
698,2135
1276,1005
807,1023
1185,1037
1670,711
1653,1046
850,2007
1979,1022
2151,2065
843,858
2205,2295
2339,1210
1500,2445
2518,964
1719,800
973,1731
1271,2220
1308,1422
1071,1259
1007,1396
1501,1075
2377,1422
779,986
1907,2287
1732,2027
1744,1589
1381,848
2390,2257
2354,2280
1077,1775
1431,1394
2509,2116
1904,1087
2333,706
1095,1058
2427,1657
2419,2021
1544,1842
950,922
1046,2494
1693,1109
1387,872
2277,1624
829,2430
1068,808
1432,1213
1941,1321
878,1877
1830,2256
1628,865
2152,2479
2374,2171
1386,2523
2189,728
2306,2236
1013,959
2489,2470
1433,1493
2167,953
1443,858
1197,928
1468,1252
921,2426
1422,863
1386,1931
1532,2529
1309,2475
1090,2088
1318,2366
1377,1270
2250,1603
2175,1340
1721,981
1646,1749
2125,2149
2294,2412
1098,2511
1490,706
1711,1425
648,1224
869,1006
2460,2382
1393,1799
1567,1542
891,1219
978,2287
1953,1958
1137,746
938,1685
2178,2112
1063,1187
1233,2399
1013,2213
2182,2375
933,734
1741,2516
1211,911
860,715
2549,2379
854,1948
1663,829
704,1386
2455,2138
1422,1671
1817,2514
843,713
1605,1302
722,1868
1736,2439
2359,2154
763,1437
1343,2021
1496,1718
2014,1679
700,1157
959,1437
2394,2188
2111,984
1535,1515
708,2504
1551,1812
1451,1905
1262,2460
873,1659
722,1939
1420,2316
1459,2441
1333,1292
815,2128
1721,1336
2080,992
2375,2350
1711,2338
2480,1762
1109,2286
973,758
992,936
2256,2113
1562,1436
1342,1022
2249,1148
2483,2207
2123,1297
2464,1820
2499,2289
1462,702
768,1599
2148,1724
1860,1578
2231,876
1579,1482
2392,2108
2418,2407
2102,2137
781,1457
2362,2231
725,828
1253,2021
2447,1700
2234,2060
2159,1164
969,828
2459,2293
718,729
866,844
2227,2174
1553,831
2314,2303
2266,2194
1354,1473
1136,881
974,1331
1067,960
1414,1403
691,2293
1863,1258
1325,2511
864,2426
1123,1624
1608,730
1460,1992
2392,2135
2189,2022
2451,2306
2496,1197
994,1282
2463,2435
1009,922
1047,959
882,1211
1092,1622
1623,2514
2049,1451
1103,1712
2290,2253
774,698
1898,1799
2088,2051
1516,1948
1773,1791
970,1483
1200,1403
1340,1274
1130,1089
1216,1381
2327,1775
926,1391
1426,2370
1255,2480
705,676
2191,1069
2309,1487
1575,1455
1616,1862
2393,1305
650,1313
2083,925
2357,2015
1130,2409
820,1437
929,1210
2344,1674
2094,2073
1245,2136
1978,2065
1024,1366
1290,1786
1420,2445
1472,1757
911,2294
2172,2060
2014,1769
1272,1791
1965,2291
2411,2266
1969,2155
2377,2006
1743,1581
1399,2289
2308,1246
1099,1073
1138,2191
1893,2286
903,1506
1452,892
1522,2348
1489,1194
1534,1195
1870,1627
1947,2296
1497,1718
1033,1988
2484,2398
1575,1627
1661,2498
823,786
2029,2440
1935,2302
1782,860
1184,749
1407,1578
1886,2117
2142,2110
1323,2113
2420,2284
719,1717
1470,803
1812,1210
2084,2046
1930,1878
2422,2404
1358,1064
737,753
928,781
926,779
1736,1242
813,993
2515,2505
2166,2057
1260,910
2320,2536
1800,1854
1042,749
1621,2124
1229,697
841,1077
1564,622
1107,1046
1822,1437
2237,1885
1718,1441
1634,2385
2433,2311
1204,2062
2067,1775
2200,2081
2389,1279
1828,2434
763,959
862,1073
1434,2004
1196,2409
1124,835
1319,1521
1186,922
793,1840
1887,880
2535,2257
2353,2174
2212,2203
1815,1706
2369,1422
1713,910
933,1208
2144,2051
934,1576
1150,1405
945,2145
2502,1884
2096,948
782,1161
1230,1407
2390,2134
1712,2187
2300,2472
1252,1868
1944,1603
1828,1385
1572,1916
2266,1918
1724,2405
2347,819
796,2191
1751,1739
1415,836
1710,1041
1054,2406
2508,1237
2232,2154
2379,2309
892,1995
1431,1121
750,1896
1806,1893
2397,2471
1822,1890
1325,1585
2304,2326
1469,901
1810,2018
951,1416
1975,1932
1916,837
1894,2253
2031,820
2370,2120
1261,1761
1285,1262
2281,2367
1602,2042
1170,758
2087,1843
1437,1195
1890,1449
2264,2244
2257,2168
1527,849
1694,2483
1921,2249
2067,967
1887,1999
2202,2459
1502,1500
1788,1203
2271,2140
1110,873
1156,1370
2530,1975
1652,1770
652,2547
1037,942
1878,1843
2317,2193
1742,1527
2030,1619
1711,2481
785,1413
1975,1603
2548,2495
650,2013
1684,1636
1192,1061
1356,2426
1425,1684
2223,1267
899,1777
1233,2472
884,829
2285,2279
2023,1892
1815,1374
1976,2198
2272,2106
2332,2300
681,1435
2177,939
2278,2192
754,705
903,960
1716,2536
614,2355
994,663
1279,1273
1855,1140
1153,1211
2230,1816
1967,746
1355,1245
1832,2464
624,2311
1032,1224
795,624
2066,2023
2175,1611
2246,1719
675,1712
1120,1095
1777,1012
1971,1877
747,1398
1410,2056
2447,2515
1042,1306
1037,2403
1654,1650
2354,2333
1672,2339
798,1102
2223,1473
2284,1987
2183,1128
1329,2002
952,644
2173,1703
2434,1862
2029,1234
1775,1224
984,2532
1209,2069
645,1535
2313,790
2350,2172
2529,2398
1770,1737
2264,2255
1067,641
2277,1084
678,666
1308,2509
1618,2127
1622,719
2485,2491
1427,654
1292,845
2025,1764
1682,1747
1581,1399
864,1913
1466,802
1979,971
675,2187
1819,1037
1506,1471
1481,1454
911,2536
1040,1012
1207,809
2347,2048
2141,1722
1667,2511
1005,1299
1271,723
866,835
804,2051
2522,2509
1696,2430
2323,2201
2167,2007
1053,925
1716,1541
848,995
1948,1621
821,724
2091,1652
723,2039
1841,787
1684,1261
1311,821
1975,2431
2540,2309
1895,1697
2330,835
1798,2134
2307,1785
2458,2491
1689,1678
1264,1164
724,635
2053,2029
1435,1043
767,2454
2346,2316
1236,1206
2521,2494
1797,777
1933,2385
1345,2051
2136,1150
739,1158
2468,2431
733,1725
2317,2111
2317,2490
2007,1258
2465,2516
1011,1537
976,2489
1075,1033
656,1019
699,666
1822,1804
2320,2037
2064,2498
1614,788
1177,983
2337,1015
1328,1635
1481,1833
1534,1255
1816,1785
912,2242
722,2099
1670,1233
823,2017
2126,842
1601,1597
1619,1580
2377,1809
1146,1729
1688,1549
754,906
1278,2499
1865,2347
1431,1328
2437,2426
1541,2179
1391,2307
2305,2277
884,1659
1476,1820
972,1650
1455,1535
2077,1791
1724,1711
2420,2538
812,2039
1626,860
1844,850
1912,1743
975,1581
2306,1321
2531,2023
2459,1923
1096,936
2454,2399
1272,1399
899,1040
1353,1479
2014,1564
1736,2448
1081,2226
2423,1500
1608,1516
2067,1971
1539,1730
1459,901
2528,1139
819,1865
1912,1856
1014,2059
1146,678
1088,1433
2115,1565
844,1366
2247,759
2145,1246
918,1821
2131,793
2418,2239
2325,2481
926,1514
1795,2245
904,1751
1312,2239
1669,1399
1813,1208
2518,2004
1423,1611
898,1770
1089,842
808,1108
1164,1968
887,2370
1453,2146
2195,2186
711,654
2122,1607
1703,2179
1739,1359
1284,2107
2400,2391
626,1371
1438,1966
2141,2460
699,678
739,727
1655,2251
2367,2060
985,1050
1739,904
1503,1068
2355,2346
1745,1109
2473,2460
1148,1180
2309,2259
1724,1425
2512,1782
746,747
733,2112
1432,1859
2113,1824
842,852
870,2095
1886,1907
2043,2037
1384,2507
1227,1569
2161,1740
1892,1405
1084,852
1750,1355
1809,1514
967,2312
2079,894
1918,1706
2254,2462
1945,1998
2201,2087
2373,2300
2376,2291
1484,2264
2313,2081
884,1711
855,1357
2063,2051
1402,1332
624,1297
2140,1354
2121,1757
1717,1597
1754,2519
759,1491
1933,1968
2351,2321
1749,2082
2275,2163
1076,892
2315,2210
2373,2353
1122,2048
1421,1788
1196,2268
2005,673
2228,2201
2120,2155
1020,2378
1129,1371
1078,916
904,1140
859,1323
1465,704
802,1381
1049,1402
2436,2257
2327,2289
1396,1205
616,1330
2101,1242
2061,1135
1680,2338
1539,2135
2510,2174
826,2320
2296,1938
1700,1833
1843,2078
796,707
1350,2499
2227,2060
1757,1321
1944,1717
1072,614
2515,2471
1530,1478
1755,971
633,2425
1998,1566
1358,1271
1563,729
2465,2407
796,953
725,1799
2163,2456
2165,2385
1676,1315
2005,756
2044,1777
628,1360
1117,1784
766,692
1721,838
1105,733
1821,2432
768,1435
1494,1611
2404,1821
1763,1115
2506,2260
1986,1491
688,614
2385,1968
1017,1011
1965,1884
1019,1241
2127,1536
2421,1722
1500,1445
2085,2042
2365,1409
2035,1733
2244,1696
634,901
697,700
1598,1409
2170,2481
835,873
1680,2357
1550,2101
1214,1483
2340,1731
987,1650
2242,2074
2307,2321
2468,2234
1965,1941
2075,1881
2328,1498
660,2121
1547,1219
970,1082
2448,2062
1206,693
672,1210
2483,682
2277,1022
1644,1717
1869,2027
1351,1703
2049,2482
1739,1704
1826,2490
1826,2111
1735,2488
935,950
2184,2174
1366,2124
1974,930
2066,1827
2123,2499
720,1890
646,1742
1584,1432
1058,936
2209,1545
2254,2291
2499,2204
2383,1545
1762,2492
1651,2492
1579,2487
2040,1919
689,998
2258,2350
1505,1948
1546,775
2038,700
971,1022
1082,2091
1252,975
873,981
1551,1095
1081,2269
1025,661
1691,2543
1298,1970
1791,790
2047,2292
2366,1988
1156,1033
1660,1245
1267,1792
824,895
999,917
1511,913
2046,2430
2469,1732
1570,1004
1045,1040
2123,1376
2481,2204
969,1308
1599,1908
851,2128
2487,2426
2549,1281
1155,1286
2358,2353
739,666
1906,945
2230,979
2258,733
1554,2267
684,1304
687,2494
2287,2230
1991,2445
697,1116
1888,898
1996,2401
807,1441
1474,865
1192,705
1387,1638
1772,1977
847,2012
1677,1606
1212,1193
1794,2210
2290,2196
1705,1929
1478,2256
2062,2000
2162,2377
1616,1930
2074,1652
1695,1256
1770,892
2386,2503
2343,2295
1316,727
1853,1749
2110,2352
1327,2013
2046,1953
2139,914
880,1403
964,901
2532,2538
1640,1603
1313,809
1524,911
2174,2340
2246,2156
2327,771
1258,971
1262,860
1263,835
1660,1350
945,732
618,2280
1771,1183
2254,1965
2320,835
1062,852
1994,2489
2189,2172
2166,1170
794,2128
835,1696
1946,2042
1637,1279
663,1243
645,1805
1043,893
2401,2236
1617,1100
2330,2154
1481,1310
2488,2144
670,1167
2050,2512
1256,1370
1123,830
1379,1021
2536,2365
1466,1381
1496,1497
1008,730
1624,1022
827,2430
1560,775
911,1584
1125,867
1695,2298
1760,1743
2168,2117
2414,2389
2271,837
847,2421
1433,2049
739,678
909,1132
2451,2291
